gene_family	prevalence	prevalence_percent
ndk	0.7267441860465116	72.67441860465115
ispF	0.7267441860465116	72.67441860465115
gyrB	0.7238372093023255	72.38372093023256
rpmJ	0.7209302325581395	72.09302325581395
rpmD	0.7209302325581395	72.09302325581395
apt	0.7180232558139535	71.80232558139535
udk	0.7180232558139535	71.80232558139535
frr	0.7093023255813954	70.93023255813954
hisIE	0.7005813953488372	70.05813953488372
tuf	0.688953488372093	68.8953488372093
serS	0.688953488372093	68.8953488372093
ilvD	0.688953488372093	68.8953488372093
prfB	0.688953488372093	68.8953488372093
tgt	0.686046511627907	68.6046511627907
hemL	0.6802325581395349	68.02325581395348
rpmI	0.6773255813953488	67.73255813953489
carA	0.6744186046511628	67.44186046511628
thiC	0.6715116279069767	67.15116279069767
mnmG	0.6686046511627907	66.86046511627907
glyQ	0.6656976744186046	66.56976744186046
glnS	0.6569767441860465	65.69767441860465
upp	0.6569767441860465	65.69767441860465
aroC	0.6540697674418605	65.40697674418605
sucC	0.6482558139534884	64.82558139534885
EGC82_RS17740	0.6482558139534884	64.82558139534885
purH	0.6395348837209303	63.95348837209303
OCV29_RS00275	0.6395348837209303	63.95348837209303
lolD	0.6366279069767442	63.662790697674424
accB	0.6337209302325582	63.372093023255815
accC	0.6337209302325582	63.372093023255815
fabG	0.6308139534883721	63.08139534883721
infC	0.6308139534883721	63.08139534883721
rplU	0.6308139534883721	63.08139534883721
JXR92_RS07740	0.627906976744186	62.7906976744186
pnp	0.625	62.5
proS	0.625	62.5
glyA	0.622093023255814	62.2093023255814
carB	0.6191860465116279	61.91860465116279
odhB	0.6191860465116279	61.91860465116279
glnA	0.6191860465116279	61.91860465116279
metA	0.6162790697674418	61.627906976744185
rph	0.6162790697674418	61.627906976744185
hslV	0.6162790697674418	61.627906976744185
accA	0.6133720930232558	61.337209302325576
acs	0.6075581395348837	60.75581395348837
lipA	0.6046511627906976	60.46511627906976
hslU	0.6017441860465116	60.17441860465116
moaC	0.6017441860465116	60.17441860465116
pntB	0.5959302325581395	59.59302325581395
nqrD	0.5959302325581395	59.59302325581395
rpmE	0.5930232558139535	59.30232558139535
nqrE	0.5930232558139535	59.30232558139535
nadE	0.5901162790697675	59.01162790697675
ribE	0.5901162790697675	59.01162790697675
leuC	0.5872093023255814	58.720930232558146
rpmG	0.5872093023255814	58.720930232558146
pepT	0.5872093023255814	58.720930232558146
ONE56_RS02855	0.5872093023255814	58.720930232558146
gltA	0.5872093023255814	58.720930232558146
menB	0.5843023255813954	58.43023255813954
leuA	0.5784883720930233	57.84883720930233
coaA	0.5755813953488372	57.55813953488372
sdhA	0.5755813953488372	57.55813953488372
lysS	0.5755813953488372	57.55813953488372
hisD	0.5726744186046512	57.26744186046512
NP165_RS07710	0.5668604651162791	56.68604651162791
pgm	0.5668604651162791	56.68604651162791
nrdD	0.5668604651162791	56.68604651162791
sps_RS26670	0.5668604651162791	56.68604651162791
ispG	0.5668604651162791	56.68604651162791
uvrB	0.5668604651162791	56.68604651162791
ldhA	0.561046511627907	56.104651162790695
trpS	0.561046511627907	56.104651162790695
serB	0.5581395348837209	55.81395348837209
rpsU	0.5581395348837209	55.81395348837209
asnS	0.5552325581395349	55.52325581395349
hfq	0.5552325581395349	55.52325581395349
mnmE	0.5523255813953488	55.23255813953488
hpt	0.5494186046511628	54.94186046511628
rpsR	0.5494186046511628	54.94186046511628
ACNH6B_RS19080	0.5465116279069767	54.65116279069767
rnhA	0.5465116279069767	54.65116279069767
K0I31_RS09885	0.5465116279069767	54.65116279069767
aspS	0.5465116279069767	54.65116279069767
lon	0.5465116279069767	54.65116279069767
purM	0.5406976744186046	54.06976744186046
coaD	0.5406976744186046	54.06976744186046
sufC	0.5406976744186046	54.06976744186046
group_4282	0.5348837209302325	53.48837209302325
thyA	0.5290697674418605	52.90697674418605
can	0.5290697674418605	52.90697674418605
K0I73_RS10890	0.5290697674418605	52.90697674418605
greA	0.5290697674418605	52.90697674418605
secY	0.5290697674418605	52.90697674418605
rpoA	0.5261627906976745	52.616279069767444
clpA	0.5261627906976745	52.616279069767444
hemB	0.5261627906976745	52.616279069767444
fabB	0.5261627906976745	52.616279069767444
Vgang_RS01750	0.5261627906976745	52.616279069767444
ykgO	0.5261627906976745	52.616279069767444
nusG	0.5261627906976745	52.616279069767444
rpoZ	0.5261627906976745	52.616279069767444
hupB	0.5261627906976745	52.616279069767444
recA	0.5261627906976745	52.616279069767444
rplW	0.5261627906976745	52.616279069767444
pgi	0.5232558139534884	52.32558139534884
dxs	0.5232558139534884	52.32558139534884
alaS	0.5232558139534884	52.32558139534884
cgtA	0.5232558139534884	52.32558139534884
mraY	0.5232558139534884	52.32558139534884
VRUMOI_RS08500	0.5232558139534884	52.32558139534884
eno	0.5232558139534884	52.32558139534884
nth	0.5203488372093024	52.03488372093024
ung	0.5174418604651163	51.74418604651163
rne	0.5145348837209303	51.45348837209303
clpS	0.5145348837209303	51.45348837209303
pflA	0.5087209302325582	50.872093023255815
dnaQ	0.5058139534883721	50.58139534883721
NP165_RS08470	0.5058139534883721	50.58139534883721
dtd	0.502906976744186	50.2906976744186
rpsA	0.502906976744186	50.2906976744186
C1707_RS14050	0.502906976744186	50.2906976744186
hldE	0.502906976744186	50.2906976744186
gyrA	0.502906976744186	50.2906976744186
ssb	0.502906976744186	50.2906976744186
rho	0.5	50.0
OCU38_RS02960	0.5	50.0
tolQ	0.5	50.0
uvrA	0.5	50.0
